date	empleo_volumen	replies	retweets	likes	iso_2
2019-12-31	2	5	26	136	GT
2020-01-01	1	0	0	0	GT
2020-01-02	1	1	0	0	GT
2020-01-04	3	3	6	7	GT
2020-01-05	6	76	94	206	GT
2020-01-06	7	27	122	249	GT
2020-01-07	5	3	5	16	GT
2020-01-08	6	4	6	32	GT
2020-01-09	10	1	2	4	GT
2020-01-10	10	55	94	517	GT
2020-01-11	4	0	0	1	GT
2020-01-12	4	2	2	3	GT
2020-01-13	15	1	9	25	GT
2020-01-14	22	10	48	119	GT
2020-01-15	26	46	52	209	GT
2020-01-16	16	12	86	170	GT
2020-01-17	13	3	13	45	GT
2020-01-18	10	7	18	36	GT
2020-01-19	8	0	12	46	GT
2020-01-20	18	48	21	86	GT
2020-01-21	9	15	34	146	GT
2020-01-22	6	0	3	8	GT
2020-01-23	5	4	23	65	GT
2020-01-24	11	2	3	11	GT
2020-01-25	7	2	29	50	GT
2020-01-26	6	17	16	125	GT
2020-01-27	7	8	12	57	GT
2020-01-28	9	0	5	21	GT
2020-01-29	11	1	25	36	GT
2020-01-30	7	5	10	32	GT
2020-01-31	7	6	13	118	GT
2020-02-02	4	0	1	1	GT
2020-02-03	8	2	13	37	GT
2020-02-04	34	11	71	151	GT
2020-02-05	27	23	83	170	GT
2020-02-06	17	20	60	174	GT
2020-02-07	5	1	2	20	GT
2020-02-08	9	1	1	3	GT
2020-02-09	4	0	4	3	GT
2020-02-10	6	2	6	10	GT
2020-02-11	5	0	3	1	GT
2020-02-12	4	4	8	9	GT
2020-02-13	15	2	23	48	GT
2020-02-14	3	0	0	0	GT
2020-02-15	5	11	2	8	GT
2020-02-16	5	0	0	3	GT
2020-02-17	10	1	4	14	GT
2020-02-18	13	3	9	30	GT
2020-02-19	6	1	3	1	GT
2020-02-20	2	0	0	0	GT
2020-02-21	4	0	7	19	GT
2020-02-22	1	0	2	8	GT
2020-02-23	3	0	0	0	GT
2020-02-24	5	0	4	3	GT
2020-02-25	9	25	123	278	GT
2020-02-26	8	0	6	11	GT
2020-02-27	9	17	34	138	GT
2020-02-28	8	2	0	1	GT
2020-02-29	3	1	1	7	GT
2020-03-01	2	0	1	2	GT
2020-03-02	4	0	4	10	GT
2020-03-03	14	7	23	38	GT
2020-03-04	2	0	1	1	GT
2020-03-05	3	1	1	3	GT
2020-03-06	6	7	15	50	GT
2020-03-07	5	1	0	1	GT
2020-03-08	1	1	0	0	GT
2020-03-09	6	6	10	34	GT
2020-03-10	6	1	2	1	GT
2020-03-11	5	1	0	3	GT
2020-03-12	11	1	7	27	GT
2020-03-13	6	0	2	6	GT
2020-03-14	2	0	0	1	GT
2020-03-15	1	1	0	0	GT
2020-03-16	7	14	5	6	GT
2020-03-17	7	0	4	17	GT
2020-03-18	12	5	26	58	GT
2020-03-19	8	1	2	9	GT
2020-03-20	7	11	9	24	GT
2020-03-21	6	1	6	14	GT
2020-03-22	9	10	135	478	GT
2020-03-23	6	0	3	7	GT
2020-03-24	5	3	5	14	GT
2020-03-25	9	31	200	471	GT
2020-03-26	6	3	4	9	GT
2020-03-27	5	1	2	9	GT
2020-03-28	14	25	50	174	GT
2020-03-29	8	6	15	40	GT
2020-03-30	15	4	10	17	GT
2020-03-31	12	29	375	618	GT
2020-04-01	9	1	11	38	GT
2020-04-02	15	21	33	122	GT
2020-04-03	14	8	7	34	GT
2020-04-04	4	3	1	18	GT
2020-04-05	6	15	36	89	GT
2020-04-06	7	2	1	6	GT
2020-04-07	2	0	0	1	GT
2020-04-08	22	153	187	1196	GT
2020-04-09	10	44	87	198	GT
2020-04-10	3	1	1	3	GT
2020-04-11	5	16	54	86	GT
2020-04-12	4	2	12	26	GT
2020-04-13	4	0	0	2	GT
2020-04-14	8	1	16	34	GT
2020-04-15	10	5	3	12	GT
2020-04-16	11	3	28	17	GT
2020-04-17	9	8	5	17	GT
2020-04-18	10	9	23	80	GT
2020-04-19	9	5	26	66	GT
2020-04-20	3	17	68	202	GT
2020-04-21	7	2	3	12	GT
2020-04-22	6	9	11	24	GT
2020-04-23	3	0	0	2	GT
2020-04-24	9	0	5	10	GT
2020-04-25	12	9	30	105	GT
2020-04-26	6	1	0	7	GT
2020-04-27	5	5	27	83	GT
2020-04-28	13	12	29	124	GT
2020-04-29	11	9	37	77	GT
2020-04-30	7	4	8	62	GT
2020-05-01	19	4	17	75	GT
2020-05-02	11	281	191	1280	GT
2020-05-03	10	20	65	197	GT
2020-05-04	3	0	1	4	GT
2020-05-05	13	0	12	37	GT
2020-05-06	7	2	4	13	GT
2020-05-07	4	0	0	4	GT
2020-05-08	18	11	65	129	GT
2020-05-09	4	3	6	10	GT
2020-05-10	1	0	0	0	GT
2020-05-11	5	14	26	79	GT
2020-05-12	6	13	48	195	GT
2020-05-13	11	7	34	127	GT
2020-05-14	10	23	22	69	GT
2020-05-15	10	18	85	150	GT
2020-05-16	7	6	1	5	GT
2020-05-17	7	1	1	9	GT
2020-05-18	5	4	10	48	GT
2020-05-19	3	0	0	2	GT
2020-05-20	12	4	16	102	GT
2020-05-21	9	3	3	20	GT
2020-05-22	3	0	0	1	GT
2020-05-23	5	0	14	41	GT
2020-05-24	8	2	11	23	GT
2020-05-25	8	10	17	52	GT
2020-05-26	13	40	108	504	GT
2020-05-27	8	1	4	10	GT
2020-05-28	8	3	9	45	GT
2020-05-29	6	0	2	8	GT
2020-05-30	5	3	7	17	GT
2020-05-31	7	1	7	11	GT
2020-06-01	6	4	5	38	GT
2020-06-02	8	6	19	47	GT
2020-06-03	13	148	115	461	GT
2020-06-04	3	0	2	6	GT
2020-06-05	10	4	11	50	GT
2020-06-06	5	1	43	69	GT
2020-06-07	2	2	3	5	GT
2020-06-08	3	0	5	6	GT
2020-06-09	10	4	8	46	GT
2020-06-10	5	1	5	18	GT
2020-06-11	13	6	17	48	GT
2020-06-12	7	4	23	70	GT
2020-06-13	2	0	1	0	GT
2020-06-14	9	4	19	71	GT
2020-06-15	5	1	14	13	GT
2020-06-16	7	1	6	23	GT
2020-06-17	4	1	3	18	GT
2020-06-18	8	8	43	110	GT
2020-06-19	4	1	42	61	GT
2020-06-20	4	2	11	24	GT
2020-06-21	6	1	35	77	GT
2020-06-22	11	17	12	80	GT
2020-06-23	3	0	4	12	GT
2020-06-24	3	0	2	3	GT
2020-06-25	6	2	10	30	GT
2020-06-26	13	20	19	128	GT
2020-06-27	7	4	3	5	GT
2020-06-28	8	6	6	28	GT
2020-06-29	9	3	5	19	GT
2020-06-30	8	16	126	265	GT
2020-07-01	13	5	66	302	GT
2020-07-02	12	5	73	225	GT
2020-07-03	7	3	2	6	GT
2020-07-04	3	2	0	0	GT
2020-07-05	4	3	13	28	GT
2020-07-06	5	3	17	44	GT
2020-07-07	6	3	8	32	GT
2020-07-08	3	0	0	3	GT
2020-07-09	2	0	0	2	GT
2020-07-10	6	2	7	22	GT
2020-07-11	3	0	0	3	GT
2020-07-12	11	3	6	33	GT
2020-07-13	12	7	35	62	GT
2020-07-14	37	7	25	67	GT
2020-07-15	40	9	27	82	GT
2020-07-16	36	6	8	24	GT
2020-07-17	31	3	3	8	GT
2020-07-18	33	1	10	42	GT
2020-07-19	33	118	98	593	GT
2020-07-20	31	2	0	0	GT
